month,count
2020-01,55
2020-02,54
2020-03,76
2020-04,74
2020-05,81
2020-06,49
2020-07,44
2020-08,45
2020-09,47
2020-10,40
2020-11,37
2020-12,39
2021-01,40
2021-02,45
2021-03,46
2021-04,42
2021-05,37
2021-06,36
2021-07,34
2021-08,38
2021-09,44
2021-10,48
2021-11,62
2021-12,74
2022-01,101
2022-02,91
2022-03,100
2022-04,89
2022-05,102
2022-06,111
2022-07,93
2022-08,139
2022-09,159
2022-10,155
2022-11,158
2022-12,198
2023-01,177
2023-02,176
2023-03,178
2023-04,145
2023-05,156
2023-06,135
2023-07,133
2023-08,134
2023-09,139
2023-10,130
2023-11,138
2023-12,155
2024-01,159
2024-02,169
2024-03,142
2024-04,133
2024-05,145
2024-06,151
2024-07,151
2024-08,151
2024-09,140
2024-10,106
2024-11,115
2024-12,138
2025-01,121
2025-02,106
2025-03,95
2025-04,101
2025-05,103
2025-06,98
2025-07,93
2025-08,100
2025-09,105
2025-10,107
2025-11,100
2025-12,114
2026-01,146
2026-02,174
