month,drug,concession_price
2026-02,Aciclovir 400mg tablets,2.2
2026-02,Alfuzosin 2.5mg tablets,6.71
2026-02,Amiodarone 100mg tablets,4.23
2026-02,Amiodarone 200mg tablets,7.89
2026-02,Amoxicillin 250mg/5ml oral suspension,1.37
2026-02,Aqueous cream,0.99
2026-02,Aqueous cream,5.8
2026-02,Aspirin 75mg dispersible tablets,3.04
2026-02,Aspirin 75mg dispersible tablets,10.86
2026-02,Aspirin 75mg gastro-resistant tablets,2.0
2026-02,Aspirin 75mg tablets,2.17
2026-02,Benzydamine 0.15% mouthwash sugar free,3.31
2026-02,Benzydamine 0.15% oromucosal spray sugar free,3.75
2026-02,Betamethasone 500microgram soluble tablets sugar free,47.89
2026-02,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,9.42
2026-02,Captopril 12.5mg tablets,29.04
2026-02,Captopril 25mg tablets,25.95
2026-02,Captopril 50mg tablets,39.0
2026-02,Carbocisteine 375mg capsules,3.75
2026-02,Cefalexin 125mg/5ml oral suspension sugar free,4.5
2026-02,Cefalexin 250mg/5ml oral suspension sugar free,4.7
2026-02,Chloramphenicol 0.5% eye drops,2.35
2026-02,Chloramphenicol 1% eye ointment,2.99
2026-02,Cimetidine 400mg tablets,5.55
2026-02,Ciprofloxacin 500mg tablets,4.16
2026-02,Clarithromycin 125mg/5ml oral suspension,11.1
2026-02,Clarithromycin 250mg/5ml oral suspension,23.5
2026-02,Clobazam 10mg tablets,2.51
2026-02,Clomipramine 50mg capsules,6.99
2026-02,Clotrimazole 1% cream,3.29
2026-02,Clotrimazole 500mg pessaries,6.45
2026-02,Co-amilofruse 5mg/40mg tablets,3.72
2026-02,Co-careldopa 12.5mg/50mg tablets,5.71
2026-02,Co-careldopa 25mg/100mg tablets,6.88
2026-02,Co-codamol 30mg/500mg capsules,5.68
2026-02,Co-codamol 30mg/500mg tablets,2.09
2026-02,Co-codamol 30mg/500mg tablets,6.95
2026-02,Co-codamol 8mg/500mg capsules,24.22
2026-02,Co-codamol 8mg/500mg capsules,7.75
2026-02,Co-codamol 8mg/500mg effervescent tablets,2.24
2026-02,Co-codamol 8mg/500mg effervescent tablets,7.0
2026-02,Codeine 15mg tablets,0.92
2026-02,Codeine 15mg tablets,3.29
2026-02,Codeine 15mg/5ml linctus sugar free,17.34
2026-02,Cyclizine 50mg/1ml solution for injection ampoules,3.41
2026-02,Diclofenac sodium 50mg gastro-resistant tablets,5.8
2026-02,Dipyridamole 200mg modified-release capsules,39.78
2026-02,Docusate 50mg/5ml oral solution sugar free,15.59
2026-02,Duloxetine 30mg gastro-resistant capsules,1.45
2026-02,Duloxetine 60mg gastro-resistant capsules,1.86
2026-02,Enalapril 2.5mg tablets,4.05
2026-02,Eplerenone 50mg tablets,3.51
2026-02,Esomeprazole 20mg gastro-resistant capsules,4.73
2026-02,Esomeprazole 20mg gastro-resistant tablets,2.35
2026-02,Esomeprazole 40mg gastro-resistant capsules,3.46
2026-02,Esomeprazole 40mg gastro-resistant tablets,3.11
2026-02,Estradiol 10microgram pessaries,11.26
2026-02,Estriol 0.01% vaginal cream with applicator,33.5
2026-02,Famotidine 20mg tablets,1.8
2026-02,Fenofibrate micronised 267mg capsules,17.2
2026-02,Fesoterodine 4mg modified-release tablets,2.34
2026-02,Fesoterodine 8mg modified-release tablets,2.76
2026-02,Fexofenadine 180mg tablets,3.38
2026-02,Fluoxetine 20mg capsules,2.97
2026-02,Folic acid 400microgram tablets,9.25
2026-02,Fusidic acid 1% modified-release eye drops,35.0
2026-02,Haloperidol 5mg tablets,4.28
2026-02,Hydrocortisone 5mg tablets,18.93
2026-02,Hydroxocobalamin 1mg/1ml solution for injection ampoules,10.4
