drug,month,price_gbp
Acamprosate 333mg gastro-resistant tablets,2022-04,25.7
Acamprosate 333mg gastro-resistant tablets,2022-07,26.07
Acamprosate 333mg gastro-resistant tablets,2022-10,27.07
Acamprosate 333mg gastro-resistant tablets,2022-12,28.29
Acamprosate 333mg gastro-resistant tablets,2023-01,24.87
Acamprosate 333mg gastro-resistant tablets,2023-04,23.67
Acamprosate 333mg gastro-resistant tablets,2023-07,21.79
Acamprosate 333mg gastro-resistant tablets,2023-10,22.09
Acamprosate 333mg gastro-resistant tablets,2024-01,22.02
Acamprosate 333mg gastro-resistant tablets,2024-04,23.19
Acamprosate 333mg gastro-resistant tablets,2024-07,21.02
Acamprosate 333mg gastro-resistant tablets,2024-08,21.64
Acamprosate 333mg gastro-resistant tablets,2024-09,21.64
Acamprosate 333mg gastro-resistant tablets,2024-10,21.8
Acamprosate 333mg gastro-resistant tablets,2025-01,20.56
Acamprosate 333mg gastro-resistant tablets,2025-04,23.99
Acamprosate 333mg gastro-resistant tablets,2025-07,24.14
Acamprosate 333mg gastro-resistant tablets,2025-09,24.14
Acamprosate 333mg gastro-resistant tablets,2025-10,21.72
Acamprosate 333mg gastro-resistant tablets,2026-01,22.17
Acetazolamide 250mg tablets,2021-01,8.95
Acetazolamide 250mg tablets,2021-04,8.35
Acetazolamide 250mg tablets,2021-07,6.63
Acetazolamide 250mg tablets,2021-10,6.08
Acetazolamide 250mg tablets,2022-01,5.17
Acetazolamide 250mg tablets,2022-04,5.36
Acetazolamide 250mg tablets,2022-07,5.89
Acetazolamide 250mg tablets,2022-10,5.57
Acetazolamide 250mg tablets,2022-12,5.81
Acetazolamide 250mg tablets,2023-01,5.37
Acetazolamide 250mg tablets,2023-04,5.13
Acetazolamide 250mg tablets,2023-07,4.4
Acetazolamide 250mg tablets,2023-10,4.05
Acetazolamide 250mg tablets,2024-01,9.7
Acetazolamide 250mg tablets,2024-04,6.09
Acetazolamide 250mg tablets,2024-07,5.36
Acetazolamide 250mg tablets,2024-08,5.39
Acetazolamide 250mg tablets,2024-09,5.39
Acetazolamide 250mg tablets,2024-10,5.14
Acetazolamide 250mg tablets,2025-01,4.92
Acetazolamide 250mg tablets,2025-04,5.18
Acetazolamide 250mg tablets,2025-07,8.87
Acetazolamide 250mg tablets,2025-09,8.87
Acetazolamide 250mg tablets,2025-10,47.41
Acetazolamide 250mg tablets,2026-01,28.19
Aciclovir 200mg tablets,2021-01,1.85
Aciclovir 200mg tablets,2021-04,1.83
Aciclovir 200mg tablets,2021-07,1.63
Aciclovir 200mg tablets,2021-10,1.53
Aciclovir 200mg tablets,2022-01,1.31
Aciclovir 200mg tablets,2022-04,1.32
Aciclovir 200mg tablets,2022-07,1.32
Aciclovir 200mg tablets,2022-10,1.38
Aciclovir 200mg tablets,2022-12,1.43
Aciclovir 200mg tablets,2023-01,1.4
Aciclovir 200mg tablets,2023-04,1.36
Aciclovir 200mg tablets,2023-07,1.27
Aciclovir 200mg tablets,2023-10,1.27
Aciclovir 200mg tablets,2024-01,1.37
Aciclovir 200mg tablets,2024-04,1.23
Aciclovir 200mg tablets,2024-07,1.34
Aciclovir 200mg tablets,2024-08,1.23
Aciclovir 200mg tablets,2024-09,1.23
Aciclovir 200mg tablets,2024-10,1.15
Aciclovir 200mg tablets,2025-01,1.16
Aciclovir 200mg tablets,2025-04,1.16
Aciclovir 200mg tablets,2025-07,1.06
Aciclovir 200mg tablets,2025-09,1.06
Aciclovir 200mg tablets,2025-10,1.02
Aciclovir 200mg tablets,2026-01,0.92
Aciclovir 400mg tablets,2021-01,3.5
Aciclovir 400mg tablets,2021-04,3.59
Aciclovir 400mg tablets,2021-07,3.25
Aciclovir 400mg tablets,2021-10,2.94
Aciclovir 400mg tablets,2022-01,2.55
Aciclovir 400mg tablets,2022-04,2.55
Aciclovir 400mg tablets,2022-07,2.66
Aciclovir 400mg tablets,2022-10,3.08
Aciclovir 400mg tablets,2022-12,3.21
Aciclovir 400mg tablets,2023-01,3.1
Aciclovir 400mg tablets,2023-04,2.95
Aciclovir 400mg tablets,2023-07,2.72
Aciclovir 400mg tablets,2023-10,2.66
Aciclovir 400mg tablets,2024-01,2.8
Aciclovir 400mg tablets,2024-04,2.69
Aciclovir 400mg tablets,2024-07,2.7
Aciclovir 400mg tablets,2024-08,2.64
Aciclovir 400mg tablets,2024-09,2.64
Aciclovir 400mg tablets,2024-10,2.51
Aciclovir 400mg tablets,2025-01,2.46
Aciclovir 400mg tablets,2025-04,2.56
Aciclovir 400mg tablets,2025-07,2.35
Aciclovir 400mg tablets,2025-09,2.35
Aciclovir 400mg tablets,2025-10,2.16
Aciclovir 400mg tablets,2026-01,2.11
Aciclovir 800mg tablets,2021-01,4.36
Aciclovir 800mg tablets,2021-04,4.29
Aciclovir 800mg tablets,2021-07,3.97
Aciclovir 800mg tablets,2021-10,3.43
Aciclovir 800mg tablets,2022-01,2.88
Aciclovir 800mg tablets,2022-04,2.76
Aciclovir 800mg tablets,2022-07,2.89
Aciclovir 800mg tablets,2022-10,3.15
Aciclovir 800mg tablets,2022-12,3.28
Aciclovir 800mg tablets,2023-01,3.45
