month,drug_name,pack_size,concession_price_gbp,vmpp_code
2026-02-01,Aciclovir 400mg tablets,56.0,2.2,1109511000001108
2026-02-01,Alfuzosin 2.5mg tablets,60.0,6.71,3187411000001105
2026-02-01,Amiodarone 100mg tablets,28.0,4.23,1289211000001108
2026-02-01,Amiodarone 200mg tablets,28.0,7.89,1137911000001104
2026-02-01,Amoxicillin 250mg/5ml oral suspension,100.0,1.37,960811000001104
2026-02-01,Aqueous cream,100.0,0.99,1092211000001106
2026-02-01,Aqueous cream,500.0,5.8,1013711000001106
2026-02-01,Aspirin 75mg dispersible tablets,28.0,3.04,969811000001108
2026-02-01,Aspirin 75mg dispersible tablets,100.0,10.86,1113811000001107
2026-02-01,Aspirin 75mg gastro-resistant tablets,28.0,2.0,1005911000001107
2026-02-01,Aspirin 75mg tablets,28.0,2.17,1041711000001104
2026-02-01,Benzydamine 0.15% mouthwash sugar free,300.0,3.31,1079011000001101
2026-02-01,Benzydamine 0.15% oromucosal spray sugar free,30.0,3.75,1256811000001108
2026-02-01,Betamethasone 500microgram soluble tablets sugar free,100.0,47.89,3694711000001106
2026-02-01,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,30.0,9.42,23296111000001103
2026-02-01,Captopril 12.5mg tablets,56.0,29.04,1246911000001100
2026-02-01,Captopril 25mg tablets,56.0,25.95,1046811000001102
2026-02-01,Captopril 50mg tablets,56.0,39.0,1040911000001109
2026-02-01,Carbocisteine 375mg capsules,120.0,3.75,9757411000001106
2026-02-01,Cefalexin 125mg/5ml oral suspension sugar free,100.0,4.5,4861611000001108
2026-02-01,Cefalexin 250mg/5ml oral suspension sugar free,100.0,4.7,4513811000001109
2026-02-01,Chloramphenicol 0.5% eye drops,10.0,2.35,1064411000001101
2026-02-01,Chloramphenicol 1% eye ointment,4.0,2.99,1128711000001103
2026-02-01,Cimetidine 400mg tablets,60.0,5.55,1087011000001100
2026-02-01,Ciprofloxacin 500mg tablets,10.0,4.16,1308211000001109
2026-02-01,Clarithromycin 125mg/5ml oral suspension,70.0,11.1,967911000001105
2026-02-01,Clarithromycin 250mg/5ml oral suspension,70.0,23.5,1322811000001100
2026-02-01,Clobazam 10mg tablets,30.0,2.51,1034311000001101
2026-02-01,Clomipramine 50mg capsules,28.0,6.99,1313011000001108
2026-02-01,Clotrimazole 1% cream,50.0,3.29,1272111000001103
2026-02-01,Clotrimazole 500mg pessaries,1.0,6.45,976011000001101
2026-02-01,Co-amilofruse 5mg/40mg tablets,28.0,3.72,1245011000001108
2026-02-01,Co-careldopa 12.5mg/50mg tablets,90.0,5.71,977011000001103
2026-02-01,Co-careldopa 25mg/100mg tablets,100.0,6.88,1114811000001105
2026-02-01,Co-codamol 30mg/500mg capsules,100.0,5.68,1008911000001101
2026-02-01,Co-codamol 30mg/500mg tablets,30.0,2.09,974011000001106
2026-02-01,Co-codamol 30mg/500mg tablets,100.0,6.95,1285911000001101
2026-02-01,Co-codamol 8mg/500mg capsules,100.0,24.22,12872811000001103
2026-02-01,Co-codamol 8mg/500mg capsules,32.0,7.75,10687711000001100
2026-02-01,Co-codamol 8mg/500mg effervescent tablets,32.0,2.24,10517511000001103
2026-02-01,Co-codamol 8mg/500mg effervescent tablets,100.0,7.0,955211000001102
2026-02-01,Codeine 15mg tablets,28.0,0.92,1316211000001105
2026-02-01,Codeine 15mg tablets,100.0,3.29,1307711000001103
