drug_name,pack_size,concession_price_p,month,source,is_shortage,cookie,duration,description,product,new_category_h_price_(march_2026),previous_category_c_price_(based_on),price_increase_or_decrease
,,,2023-03,CPE_archive,1,cookielawinfo-checkbox-analytics,11 months,"This cookie is set by GDPR Cookie Consent plugin. The cookie is used to store the user consent for the cookies in the category ""Analytics"".",,,,
Aciclovir 400mg tablets,56,£2.20,2026-02,CPE_archive,1,,,,,,,
Alfuzosin 2.5mg tablets,60,£6.71,2026-02,CPE_archive,1,,,,,,,
Amiodarone 100mg tablets,28,£4.23,2026-02,CPE_archive,1,,,,,,,
Amiodarone 200mg tablets,28,£7.89,2026-02,CPE_archive,1,,,,,,,
Amoxicillin 250mg/5ml oral suspension,100,£1.37,2026-02,CPE_archive,1,,,,,,,
Aspirin 75mg dispersible tablets,28,£3.04,2026-02,CPE_archive,1,,,,,,,
Aspirin 75mg dispersible tablets,100,£10.86,2026-02,CPE_archive,1,,,,,,,
Aspirin 75mg gastro-resistant tablets,28,£2.00,2026-02,CPE_archive,1,,,,,,,
Aspirin 75mg tablets,28,£2.17,2026-02,CPE_archive,1,,,,,,,
Benzydamine 0.15% mouthwash sugar free,300,£3.31,2026-02,CPE_archive,1,,,,,,,
Benzydamine 0.15% oromucosal spray sugar free,30,£3.75,2026-02,CPE_archive,1,,,,,,,
Betamethasone 500microgram soluble tablets sugar free,100,£47.89,2026-02,CPE_archive,1,,,,,,,
Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,30,£9.42,2026-02,CPE_archive,1,,,,,,,
Captopril 12.5mg tablets,56,£29.04(previously £27.95),2026-02,CPE_archive,1,,,,,,,
Captopril 50mg tablets,56,£39.00(previously £26.95),2026-02,CPE_archive,1,,,,,,,
Carbocisteine 375mg capsules,120,£3.75,2026-02,CPE_archive,1,,,,,,,
Cefalexin 125mg/5ml oral suspension sugar free,100,£4.50,2026-02,CPE_archive,1,,,,,,,
Cefalexin 250mg/5ml oral suspension sugar free,100,£4.70,2026-02,CPE_archive,1,,,,,,,
Chloramphenicol 0.5% eye drops,10,£2.35,2026-02,CPE_archive,1,,,,,,,
Chloramphenicol 1% eye ointment,4,£2.99,2026-02,CPE_archive,1,,,,,,,
Cimetidine 400mg tablets,60,£5.55,2026-02,CPE_archive,1,,,,,,,
Ciprofloxacin 500mg tablets,10,£4.16,2026-02,CPE_archive,1,,,,,,,
Clarithromycin 125mg/5ml oral suspension,70,£9.59,2026-02,CPE_archive,1,,,,,,,
Clarithromycin 250mg/5ml oral suspension,70,£23.50,2026-02,CPE_archive,1,,,,,,,
Clobazam 10mg tablets,30,£2.51,2026-02,CPE_archive,1,,,,,,,
Clomipramine 50mg capsules,28,£6.99,2026-02,CPE_archive,1,,,,,,,
Clotrimazole 1% cream,50,£3.29,2026-02,CPE_archive,1,,,,,,,
Clotrimazole 500mg pessaries,1,£6.45,2026-02,CPE_archive,1,,,,,,,
Co-amilofruse 5mg/40mg tablets,28,£3.72,2026-02,CPE_archive,1,,,,,,,
Co-careldopa 12.5mg/50mg tablets,90,£5.71,2026-02,CPE_archive,1,,,,,,,
Co-careldopa 25mg/100mg tablets,100,£6.88,2026-02,CPE_archive,1,,,,,,,
Co-codamol 30mg/500mg capsules,100,£5.68,2026-02,CPE_archive,1,,,,,,,
Co-codamol 30mg/500mg tablets,30,£2.09,2026-02,CPE_archive,1,,,,,,,
Co-codamol 30mg/500mg tablets,100,£6.95,2026-02,CPE_archive,1,,,,,,,
Co-codamol 8mg/500mg capsules,100,£24.22,2026-02,CPE_archive,1,,,,,,,
Co-codamol 8mg/500mg capsules,32,£7.75,2026-02,CPE_archive,1,,,,,,,
Co-codamol 8mg/500mg effervescent tablets,32,£2.24,2026-02,CPE_archive,1,,,,,,,
Co-codamol 8mg/500mg effervescent tablets,100,£7.00,2026-02,CPE_archive,1,,,,,,,
Codeine 15mg tablets,28,£0.92,2026-02,CPE_archive,1,,,,,,,
Codeine 15mg tablets,100,£3.29,2026-02,CPE_archive,1,,,,,,,
Cyclizine 50mg/1ml solution for injection ampoules,5,£3.41,2026-02,CPE_archive,1,,,,,,,
Diclofenac sodium 50mg gastro-resistant tablets,28,£5.80,2026-02,CPE_archive,1,,,,,,,
Dipyridamole 200mg modified-release capsules,60,£39.78,2026-02,CPE_archive,1,,,,,,,
