month,source,source_url,drug_name,pack_size,concessionary_price_pence,price_raw
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Adapalene 0.1% cream,45,1826,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Adapalene 0.1% gel,45,1826,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Alfentanil 1mg/2ml solution for injection ampoules,10,758,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Alfuzosin 2.5mg tablets,60,667,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Amiodarone 100mg tablets,28,417,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Amiodarone 200mg tablets,28,723,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Amlodipine 2.5mg tablets,28,388,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Apixaban 2.5mg tablets,60,164,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Apixaban 5mg tablets,56,229,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Aqueous cream,100,85,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Aqueous cream,500,426,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Aripiprazole 15mg tablets,28,102,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Aspirin 75mg dispersible tablets,28,279,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Aspirin 75mg dispersible tablets,100,996,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Aspirin 75mg gastro-resistant tablets,28,215,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Aspirin 75mg tablets,28,185,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Benzydamine 0.15% mouthwash sugar free,300,336,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Betamethasone 500microgram soluble tablets sugar free,100,4650,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,30,944,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Bisoprolol 1.25mg tablets,28,199,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Candesartan 8mg tablets,28,86,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Captopril 12.5mg tablets,56,4531,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Captopril 25mg tablets,56,4925,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Captopril 50mg tablets,56,3801,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Carbocisteine 375mg capsules,120,318,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Carvedilol 12.5mg tablets,28,131,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Carvedilol 25mg tablets,28,190,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Carvedilol 3.125mg tablets,28,100,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Carvedilol 6.25mg tablets,28,294,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Cefalexin 125mg/5ml oral suspension sugar free,100,450,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Cefalexin 250mg/5ml oral suspension sugar free,100,451,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Chloramphenicol 0.5% eye drops,10,262,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Chloramphenicol 1% eye ointment,4,295,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Chlordiazepoxide 10mg capsules,100,3027,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Chlordiazepoxide 5mg capsules,100,3501,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Cimetidine 400mg tablets,60,553,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Ciprofloxacin 500mg tablets,10,401,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Clarithromycin 125mg/5ml oral suspension,70,1055,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Clarithromycin 250mg/5ml oral suspension,70,2335,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Clobazam 10mg tablets,30,250,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Clomipramine 50mg capsules,28,700,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Clonidine 100microgram tablets,100,994,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Clotrimazole 1% cream,50,320,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Clotrimazole 500mg pessaries,1,585,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-amilofruse 5mg/40mg tablets,28,372,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-careldopa 12.5mg/50mg tablets,90,571,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-careldopa 25mg/100mg tablets,100,590,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-codamol 30mg/500mg capsules,100,550,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-codamol 30mg/500mg tablets,30,200,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-codamol 30mg/500mg tablets,100,670,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-codamol 8mg/500mg capsules,32,844,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-codamol 8mg/500mg capsules,100,2636,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-codamol 8mg/500mg effervescent tablets,32,300,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-codamol 8mg/500mg effervescent tablets,100,936,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Co-trimoxazole 80mg/400mg tablets,28,136,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Codeine 15mg tablets,28,76,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Codeine 15mg tablets,100,271,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Cyclizine 50mg/1ml solution for injection ampoules,5,352,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Desmopressin 10micrograms/dose nasal spray,60,3495,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Diclofenac sodium 50mg gastro-resistant tablets,28,368,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Dipyridamole 200mg modified-release capsules,60,3978,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Doxazosin 2mg tablets,28,84,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Doxazosin 4mg tablets,28,101,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Duloxetine 30mg gastro-resistant capsules,28,125,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Duloxetine 60mg gastro-resistant capsules,28,184,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Enalapril 10mg tablets,28,149,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Enalapril 2.5mg tablets,28,422,
