drug_name,api_name,api_cascade_count,api_cascade_drugs,api_cascade_on_concession,api_cascade_conc_drugs,api_concentration_risk,api_primary_source,api_manufacturer_count,api_india_china_pct,api_india_dependency,api_us_shortage_count,api_us_shortage_active
Pramipexole 88microgram tablets,pramipexole,2,Pramipexole 180microgram tablets|Pramipexole 700microgram tablets,0,,HIGH,China,2,90,1,0,0
Esomeprazole 20mg gastro-resistant capsules,esomeprazole,4,Esomeprazole 40mg gastro-resistant capsules|Esomeprazole 40mg gastro-resistant capsules|Esomeprazole 20mg gastro-resistant tablets|Esomeprazole 40mg gastro-resistant tablets,2,Esomeprazole 40mg gastro-resistant capsules|Esomeprazole 40mg gastro-resistant capsules,HIGH,India,4,75,1,0,0
Mefenamic acid 500mg tablets,mefenamic acid,0,,0,,HIGH,India,3,80,1,0,0
Lactulose 3.1-3.7g/5ml oral solution,lactulose,0,,0,,HIGH,Europe,2,10,0,0,0
Olanzapine 15mg tablets,olanzapine,5,Olanzapine 5mg tablets|Olanzapine 20mg tablets|Olanzapine 10mg tablets|Olanzapine 7.5mg tablets|Olanzapine 2.5mg tablets,5,Olanzapine 5mg tablets|Olanzapine 20mg tablets|Olanzapine 10mg tablets|Olanzapine 7.5mg tablets|Olanzapine 2.5mg tablets,HIGH,India,3,85,1,0,0
Olanzapine 5mg tablets,olanzapine,5,Olanzapine 15mg tablets|Olanzapine 20mg tablets|Olanzapine 10mg tablets|Olanzapine 7.5mg tablets|Olanzapine 2.5mg tablets,5,Olanzapine 15mg tablets|Olanzapine 20mg tablets|Olanzapine 10mg tablets|Olanzapine 7.5mg tablets|Olanzapine 2.5mg tablets,HIGH,India,3,85,1,0,0
Olanzapine 20mg tablets,olanzapine,5,Olanzapine 15mg tablets|Olanzapine 5mg tablets|Olanzapine 10mg tablets|Olanzapine 7.5mg tablets|Olanzapine 2.5mg tablets,5,Olanzapine 15mg tablets|Olanzapine 5mg tablets|Olanzapine 10mg tablets|Olanzapine 7.5mg tablets|Olanzapine 2.5mg tablets,HIGH,India,3,85,1,0,0
Olanzapine 10mg tablets,olanzapine,5,Olanzapine 15mg tablets|Olanzapine 5mg tablets|Olanzapine 20mg tablets|Olanzapine 7.5mg tablets|Olanzapine 2.5mg tablets,5,Olanzapine 15mg tablets|Olanzapine 5mg tablets|Olanzapine 20mg tablets|Olanzapine 7.5mg tablets|Olanzapine 2.5mg tablets,HIGH,India,3,85,1,0,0
Olanzapine 7.5mg tablets,olanzapine,5,Olanzapine 15mg tablets|Olanzapine 5mg tablets|Olanzapine 20mg tablets|Olanzapine 10mg tablets|Olanzapine 2.5mg tablets,5,Olanzapine 15mg tablets|Olanzapine 5mg tablets|Olanzapine 20mg tablets|Olanzapine 10mg tablets|Olanzapine 2.5mg tablets,HIGH,India,3,85,1,0,0
Indapamide 2.5mg tablets,indapamide,0,,0,,HIGH,India,3,75,1,0,0
