molecule,api_manufacturer_count,api_concentration_risk,api_india_china_pct,api_single_source,api_india_count,api_china_count,api_uk_eu_count,us_shortage_active,us_shortage_total
pramipexole,2,CRITICAL,50,0,0,1,1,0,0
esomeprazole,3,HIGH,67,0,2,0,0,0,0
mefenamic,2,CRITICAL,100,0,2,0,0,0,0
lactulose,2,CRITICAL,0,0,0,0,2,0,0
olanzapine,3,HIGH,67,0,2,0,0,0,0
indapamide,2,CRITICAL,100,0,2,0,0,0,0
propranolol,3,HIGH,67,0,2,0,0,2,2
co-codamol,0,UNKNOWN,-1,0,0,0,0,0,0
hydroxocobalamin,2,CRITICAL,0,0,0,0,2,2,2
paracetamol,3,HIGH,33,0,1,0,1,0,0
ibandronic,3,HIGH,67,0,2,0,1,0,0
oxybutynin,0,UNKNOWN,-1,0,0,0,0,0,4
trihexyphenidyl,0,UNKNOWN,-1,0,0,0,0,0,0
trimethoprim,0,UNKNOWN,-1,0,0,0,0,0,0
alfuzosin,0,UNKNOWN,-1,0,0,0,0,0,0
bumetanide,0,UNKNOWN,-1,0,0,0,0,8,17
nizatidine,0,UNKNOWN,-1,0,0,0,0,0,0
clarithromycin,0,UNKNOWN,-1,0,0,0,0,0,0
febuxostat,0,UNKNOWN,-1,0,0,0,0,0,0
naftidrofuryl,0,UNKNOWN,-1,0,0,0,0,0,0
sodium,0,UNKNOWN,-1,0,0,0,0,9,149
amiodarone,0,UNKNOWN,-1,0,0,0,0,0,0
lofepramine,0,UNKNOWN,-1,0,0,0,0,0,0
dutasteride,0,UNKNOWN,-1,0,0,0,0,0,0
nefopam,0,UNKNOWN,-1,0,0,0,0,0,0
bimatoprost,0,UNKNOWN,-1,0,0,0,0,0,0
ciprofloxacin,0,UNKNOWN,-1,0,0,0,0,0,0
progesterone,0,UNKNOWN,-1,0,0,0,0,0,0
oxytetracycline,0,UNKNOWN,-1,0,0,0,0,0,0
mometasone,0,UNKNOWN,-1,0,0,0,0,0,0
latanoprost,0,UNKNOWN,-1,0,0,0,0,0,0
valaciclovir,0,UNKNOWN,-1,0,0,0,0,0,0
betamethasone,0,UNKNOWN,-1,0,0,0,0,0,0
oxycodone,0,UNKNOWN,-1,0,0,0,0,0,7
itraconazole,0,UNKNOWN,-1,0,0,0,0,0,3
terbinafine,0,UNKNOWN,-1,0,0,0,0,0,0
procyclidine,0,UNKNOWN,-1,0,0,0,0,0,0
irbesartan,0,UNKNOWN,-1,0,0,0,0,0,0
lansoprazole,0,UNKNOWN,-1,0,0,0,0,0,0
risperidone,0,UNKNOWN,-1,0,0,0,0,0,0
tolterodine,0,UNKNOWN,-1,0,0,0,0,0,0
sulpiride,0,UNKNOWN,-1,0,0,0,0,0,0
clotrimazole,0,UNKNOWN,-1,0,0,0,0,0,0
pyridostigmine,0,UNKNOWN,-1,0,0,0,0,0,0
sulfasalazine,0,UNKNOWN,-1,0,0,0,0,0,0
phenoxymethylpenicillin,0,UNKNOWN,-1,0,0,0,0,0,0
zolmitriptan,0,UNKNOWN,-1,0,0,0,0,0,0
cyclizine,0,UNKNOWN,-1,0,0,0,0,0,0
ivabradine,0,UNKNOWN,-1,0,0,0,0,0,0
midazolam,0,UNKNOWN,-1,0,0,0,0,10,30
diclofenac,0,UNKNOWN,-1,0,0,0,0,0,0
methenamine,0,UNKNOWN,-1,0,0,0,0,0,0
fexofenadine,0,UNKNOWN,-1,0,0,0,0,0,0
co-careldopa,0,UNKNOWN,-1,0,0,0,0,0,0
dexamethasone,0,UNKNOWN,-1,0,0,0,0,10,16
