date,boe_bank_rate,ppi_output_index
2015-02-28,0.5,1.96
2015-03-31,0.5,1.99
2015-04-30,0.5,1.95
2015-05-31,0.5,1.9
2015-06-30,0.5,1.83
2015-07-31,0.5,1.87
2015-08-31,0.5,1.95
2015-09-30,0.5,1.91
2015-10-31,0.5,1.87
2015-11-30,0.5,1.92
2015-12-31,0.5,1.9
2016-01-31,0.5,1.93
2016-02-29,0.5,1.95
2016-03-31,0.5,1.9
2016-04-30,0.5,1.84
2016-05-31,0.5,1.91
2016-06-30,0.5,1.75
2016-07-31,0.5,1.72
2016-08-31,0.2841,1.69
2016-09-30,0.25,1.59
2016-10-31,0.25,1.52
2016-11-30,0.25,1.43
2016-12-31,0.25,1.45
2017-01-31,0.25,1.45
2017-02-28,0.25,1.42
2017-03-31,0.25,1.37
2017-04-30,0.25,1.35
2017-05-31,0.25,1.49
2017-06-30,0.25,1.48
2017-07-31,0.25,1.41
2017-08-31,0.25,1.43
2017-09-30,0.25,1.4
2017-10-31,0.25,1.55
2017-11-30,0.4886,1.61
2017-12-31,0.5,1.57
2018-01-31,0.5,1.54
2018-02-28,0.5,1.49
2018-03-31,0.5,1.53
2018-04-30,0.5,1.72
2018-05-31,0.5,1.74
2018-06-30,0.5,1.74
2018-07-31,0.5,1.75
2018-08-31,0.7386,1.75
2018-09-30,0.75,1.71
2018-10-31,0.75,1.8
2018-11-30,0.75,1.75
2018-12-31,0.75,1.73
2019-01-31,0.75,1.72
2019-02-28,0.75,1.7
2019-03-31,0.75,1.7
2019-04-30,0.75,1.66
2019-05-31,0.75,1.65
2019-06-30,0.75,1.64
2019-07-31,0.75,1.61
2019-08-31,0.75,1.59
2019-09-30,0.75,1.55
2019-10-31,0.75,1.47
2019-11-30,0.75,1.41
2019-12-31,0.75,1.42
2020-01-31,0.75,1.41
2020-02-29,0.75,1.4
2020-03-31,0.3477,1.4
2020-04-30,0.1,1.38
2020-05-31,0.1,1.42
2020-06-30,0.1,1.41
2020-07-31,0.1,1.45
2020-08-31,0.1,1.6
2020-09-30,0.1,1.75
2020-10-31,0.1,1.94
2020-11-30,0.1,1.92
2020-12-31,0.1,1.86
2021-01-31,0.1,1.75
2021-02-28,0.1,1.61
2021-03-31,0.1,1.56
2021-04-30,0.1,1.49
2021-05-31,0.1,1.47
2021-06-30,0.1,1.39
2021-07-31,0.1,1.29
2021-08-31,0.1,1.23
2021-09-30,0.1,1.2
2021-10-31,0.1,1.29
2021-11-30,0.1,1.53
2021-12-31,0.1714,1.57
2022-01-31,0.25,1.64
2022-02-28,0.475,1.78
2022-03-31,0.6196,2.14
2022-04-30,0.75,2.35
2022-05-31,0.9762,2.63
2022-06-30,1.1375,2.87
2022-07-31,1.25,3.48
2022-08-31,1.6818,3.6
2022-09-30,1.9167,4.17
2022-10-31,2.25,5.99
2022-11-30,2.9318,5.98
2022-12-31,3.25,5.43
2023-01-31,3.5,5.14
2023-02-28,3.975,4.79
2023-03-31,4.0761,4.74
2023-04-30,4.25,4.6
2023-05-31,4.425,4.72
2023-06-30,4.6591,5.49
2023-07-31,5.0,6.22
2023-08-31,5.2273,6.18
2023-09-30,5.25,5.91
2023-10-31,5.25,5.6
2023-11-30,5.25,5.28
2023-12-31,5.25,5.03
2024-01-31,5.25,4.71
2024-02-29,5.25,4.76
2024-03-31,5.25,4.96
2024-04-30,5.25,4.98
2024-05-31,5.25,5.19
2024-06-30,5.25,5.16
2024-07-31,5.25,4.99
2024-08-31,5.0,4.8
2024-09-30,5.0,4.58
2024-10-31,5.0,4.4
2024-11-30,4.7976,4.53
2024-12-31,4.75,4.6
2025-01-31,4.75,4.63
2025-02-28,4.5375,4.65
2025-03-31,4.5,4.54
2025-04-30,4.5,4.42
2025-05-31,4.3,4.18
2025-06-30,4.25,4.28
2025-07-31,4.25,4.21
2025-08-31,4.05,4.1
2025-09-30,4.0,4.19
2025-10-31,4.0,4.2
2025-11-30,4.0,4.06
2025-12-31,3.9048,3.97
2026-01-31,3.75,3.92
2026-02-28,3.75,3.97
