date,gbp_inr,gbp_cny,gbp_usd,eur_gbp,gbp_inr_6mo_avg,gbp_inr_vs_baseline,gbp_cny_6mo_avg,gbp_cny_vs_baseline,gbp_usd_6mo_avg,gbp_usd_vs_baseline,fx_stress_score,fx_high_stress
2024-03-11,105.68,9.1769,1.2753,0.854117,,,,,,,,0
2024-03-18,105.57,9.1466,1.2695,0.855725,,,,,,,,0
2024-03-25,105.33,9.1247,1.2635,0.857045,,,,,,,,0
2024-04-01,105.16,9.1231,1.261,0.856971,,,,,,,,0
2024-04-08,105.0,9.1179,1.2603,0.855871,,,,,,,,0
2024-04-15,104.07,9.0193,1.246,0.854993,,,,,,,,0
2024-04-22,103.63,9.0102,1.2435,0.859254,,,,,,,,0
2024-04-29,104.61,9.0768,1.2535,0.855213,,,,,,,,0
2024-05-06,104.56,9.0421,1.2522,0.85918,,,,,,,,0
2024-05-13,105.23,9.111,1.2608,0.858738,,,,,,,,0
2024-05-20,105.88,9.2056,1.2718,0.85317,,,,,,,,0
2024-05-27,106.12,9.2291,1.2742,0.851499,,,,,,,,0
2024-06-03,106.48,9.2491,1.2769,0.851136,,,,,,,,0
2024-06-10,106.4,9.2371,1.2736,0.843597,,,,,,,,0
2024-06-17,105.89,9.2026,1.268,0.845237,,,,,,,,0
2024-06-24,105.66,9.1959,1.266,0.845737,,,,,,,,0
2024-07-01,106.16,9.2451,1.2717,0.847027,,,,,,,,0
2024-07-08,107.37,9.3423,1.2856,0.843526,,,,,,,,0
2024-07-15,108.48,9.4249,1.2977,0.840972,,,,,,,,0
2024-07-22,108.01,9.3654,1.2902,0.841822,,,,,,,,0
2024-07-29,107.24,9.2699,1.2809,0.844595,,,,,,,,0
2024-08-05,106.87,9.1089,1.2725,0.858959,,,,,,,,0
2024-08-12,107.76,9.1907,1.2836,0.855066,,,,,,,,0
2024-08-19,109.42,9.3133,1.3045,0.850847,,,,,,,,0
2024-08-26,110.7,9.3835,1.3193,0.843099,,,,,,,,0
2024-09-02,110.34,9.3392,1.3141,0.842318,,,,,,,,0
2024-09-09,109.86,9.3077,1.3086,0.843882,,,,,,,,0
2024-09-16,110.87,9.3761,1.3244,0.841255,,,,,,,,0
2024-09-23,111.78,9.3938,1.3367,0.834307,,,,,,,,0
2024-09-30,111.25,9.3036,1.3258,0.83605,107.046,1.0392728359770564,9.22108,1.0089490601968532,1.2810566666666667,1.0349268962861389,1.0297411092739037,0
2024-10-07,109.88,9.2311,1.3082,0.837661,107.13741935483871,1.0255987185586193,9.221403225806451,1.0010515508275803,1.281932258064516,1.0204907410436364,1.0177237704878093,0
2024-10-14,109.62,9.2719,1.3045,0.834516,107.215,1.0224315627477498,9.22298125,1.0053040062290055,1.2826375,1.0170449561937802,1.0167546351367296,0
2024-10-21,109.18,9.2461,1.2985,0.832709,107.27454545454545,1.0177624108065966,9.223681818181818,1.0024305025108293,1.2831181818181818,1.0119878421175688,1.0125853814489636,0
2024-10-28,109.09,9.2431,1.2977,0.835003,107.32794117647059,1.016417521888659,9.22425294117647,1.0020432070698537,1.2835470588235294,1.0110264295174678,1.0115661182058984,0
2024-11-04,109.06,9.2423,1.2945,0.835143,107.37742857142857,1.0156696938170033,9.224768571428571,1.0019004735387864,1.28386,1.0082875079837366,1.0108007091502116,0
2024-11-11,107.69,9.2142,1.2758,0.831048,107.38611111111112,1.0028298714400268,9.224475,0.9988861154699861,1.2836361111111112,0.9938953796615084,1.0007532954711627,0
2024-11-18,106.53,9.1405,1.2619,0.834098,107.36297297297297,0.9922415247090572,9.222205405405406,0.991140361571483,1.2830486486486485,0.983516877032743,0.9910387110001534,0
2024-11-25,106.64,9.1539,1.2633,0.833542,107.34394736842106,0.9934421326429799,9.220407894736843,0.9927868815028448,1.2825289473684212,0.9850070071261344,0.9924020447492548,0
2024-12-02,107.55,9.2333,1.2697,0.828981,107.34923076923077,1.0018702437766025,9.220738461538462,1.001362313714236,1.2822,0.9902511308688192,1.0005559534671142,0
2024-12-09,108.02,9.2483,1.273,0.826583,107.36600000000001,1.0060913138237428,9.2214275,1.0029141366670182,1.28197,0.9930029563874349,1.0038293249330945,0
2024-12-16,107.43,9.2154,1.2641,0.827061,107.36756097560975,1.0005815445915218,9.221280487804878,0.9993622916239612,1.2815341463414636,0.9863958784155422,0.9987972020836556,0
2024-12-23,106.95,9.1553,1.2545,0.829669,107.35761904761905,0.9962031660981765,9.219709523809524,0.9930139313344756,1.2808904761904762,0.9793967738217831,0.9935657564414269,0
2024-12-30,106.95,9.1203,1.2486,0.829944,107.34813953488373,0.9962911370741144,9.217397674418605,0.9894658256214677,1.280139534883721,0.9753624241543435,0.9921506723463432,0
2025-01-06,106.45,9.0891,1.2404,0.83382,107.32772727272727,0.9918219895731426,9.214481818181818,0.9863929604880854,1.2792363636363637,0.9696409789931492,0.9879751797896261,0
2025-01-13,105.4,8.9254,1.2175,0.842957,107.28488888888889,0.9824309936990195,9.208057777777778,0.9693032141414306,1.2778644444444445,0.9527614648745564,0.9755257069492964,0
2025-01-20,106.38,8.9584,1.2306,0.844951,107.26521739130435,0.9917473957277775,9.20263043478261,0.9734608016139051,1.276836956521739,0.9637878929760192,0.9834654672184399,0
2025-01-27,107.68,9.0218,1.2445,0.838012,107.27404255319149,1.003784302680746,9.198782978723404,0.980760174565183,1.2761489361702127,0.9751996532119575,0.9940185992991983,0
2025-02-03,108.56,9.0379,1.2431,0.832917,107.30083333333334,1.011734919735013,9.19543125,0.982868530499861,1.2754604166666665,0.9746284429968918,0.9993643552906553,0
