Generic Name or Active Ingredient,Status
Albuterol Sulfate Solution,Currently in Shortage
Amino Acid Injection,Currently in Shortage
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Currently in Shortage
Atropine Sulfate Injection,Currently in Shortage
Azacitidine Injection,Currently in Shortage
Bacitracin Ophthalmic Ointment,Currently in Shortage
Bumetanide Injection,Currently in Shortage
Bupivacaine Hydrochloride Injection,Currently in Shortage
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Currently in Shortage
Carboplatin Injection,Currently in Shortage
"Cefotaxime Sodium Powder, for Solution",Currently in Shortage
Clindamycin Phosphate Injection,Currently in Shortage
Clonazepam Tablet,Currently in Shortage
Conivaptan Hydrochloride Injection,Currently in Shortage
Cromolyn Sodium Concentrate,Currently in Shortage
Desmopressin Acetate Spray,Currently in Shortage
Dexamethasone Sodium Phosphate Injection,Currently in Shortage
Dexmedetomidine Hydrochloride Injection,Currently in Shortage
Dextrose Monohydrate 10% Injection,Currently in Shortage
Dextrose Monohydrate 5% Injection,Currently in Shortage
Dextrose Monohydrate 50% Injection,Currently in Shortage
Dextrose Monohydrate 70% Injection,Currently in Shortage
Dobutamine Hydrochloride Injection,Currently in Shortage
Dopamine Hydrochloride Injection,Currently in Shortage
Echothiophate Iodide Ophthalmic Solution,Currently in Shortage
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Currently in Shortage
Etomidate Injection,Currently in Shortage
Fentanyl Citrate Injection,Currently in Shortage
Flurazepam Hydrochloride Capsule,Currently in Shortage
Furosemide Injection,Currently in Shortage
Heparin Sodium Injection,Currently in Shortage
Hydrocortisone Sodium Succinate Injection,Resolved
Hydromorphone Hydrochloride Injection,Currently in Shortage
Hydroxocobalamin Injection,Currently in Shortage
Hydroxypropyl Cellulose (1600000 Wamw) Insert,Currently in Shortage
Ketorolac Tromethamine Injection,Currently in Shortage
Lactated Ringers Injection,Resolved
Lidocaine Hydrochloride Injection,Currently in Shortage
Liraglutide Injection,Currently in Shortage
Lisdexamfetamine Dimesylate Capsule,Currently in Shortage
"Lisdexamfetamine Dimesylate Tablet, Chewable",Currently in Shortage
Lorazepam Injection,Currently in Shortage
Meperidine Hydrochloride Injection,Currently in Shortage
Methamphetamine Hydrochloride Tablet,Resolved
Methotrexate Sodium Injection,Currently in Shortage
"Methylphenidate Film, Extended Release",Currently in Shortage
"Methylphenidate Hydrochloride Tablet, Extended Release",Currently in Shortage
Methylprednisolone Acetate Injection,Currently in Shortage
Metronidazole Injection,Currently in Shortage
Midazolam Hydrochloride Injection,Currently in Shortage
Morphine Sulfate Injection,Currently in Shortage
Naltrexone Hydrochloride Tablet,Resolved
Nitroglycerin Injection,Resolved
Peginterferon alfa-2a Injection,Currently in Shortage
Penicillin G Benzathine Injection,Currently in Shortage
Promethazine Hydrochloride Injection,Currently in Shortage
Propranolol Hydrochloride Injection,Currently in Shortage
Quinapril Hydrochloride Tablet,Currently in Shortage
Quinapril/Hydrochlorothiazide Tablet,Currently in Shortage
Remifentanil Hydrochloride Injection,Currently in Shortage
Rifampin Capsule,Currently in Shortage
Rifampin Injection,Currently in Shortage
"Rifapentine Tablet, Film Coated",Currently in Shortage
Riluzole Oral Suspension,Currently in Shortage
Rocuronium Bromide Injection,Currently in Shortage
Ropivacaine Hydrochloride Injection,Currently in Shortage
Sodium Acetate Injection,Currently in Shortage
Sodium Bicarbonate Injection,Currently in Shortage
Sterile Water Injection,Currently in Shortage
Sterile Water Irrigant,Currently in Shortage
"Streptozocin Powder, For Solution",Currently in Shortage
Sufentanil Citrate Injection,Currently in Shortage
Technetium TC-99M Pyrophosphate Kit Injection,Currently in Shortage
Triamcinolone Acetonide Injection,Currently in Shortage
Triamcinolone Hexacetonide Injection,Currently in Shortage
Valproate Sodium Injection,Currently in Shortage
