date,close,volume,symbol,name,stress_zscore,mom_pct
2021-03-16,573.2694702148438,4189930,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-17,556.5653076171875,7667561,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-18,546.8569946289062,5537584,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-19,550.4262084960938,6186643,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-22,562.51416015625,7033955,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-23,559.5159301757812,5341729,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-24,557.0888061523438,7299582,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-25,547.9991455078125,4710869,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-26,558.8972778320312,5761818,SUNPHARMA.NS,Sun Pharmaceutical Industries,,
2021-03-30,568.8912353515625,4637718,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.249,
2021-03-31,568.986328125,5269919,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.121,
2021-04-01,581.3121948242188,6033653,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.931,
2021-04-05,579.4561157226562,5353987,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.508,
2021-04-06,590.544677734375,7444994,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.979,
2021-04-07,591.11572265625,4757224,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.722,
2021-04-08,584.6435546875,3222479,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.174,
2021-04-09,606.0588989257812,16755446,SUNPHARMA.NS,Sun Pharmaceutical Industries,2.135,
2021-04-12,589.4976806640625,15229597,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.09,
2021-04-13,597.1119995117188,7399207,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.406,
2021-04-15,602.7277221679688,8588761,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.563,
2021-04-16,614.9107666015625,9804095,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.941,
2021-04-19,609.7711791992188,11340358,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.548,6.37
2021-04-20,614.05419921875,13831258,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.606,10.33
2021-04-22,609.104736328125,11295290,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.3,11.38
2021-04-23,607.2011108398438,7668180,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.156,10.31
2021-04-26,604.1078491210938,6527947,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.98,7.39
2021-04-27,608.4384765625,5112384,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.122,8.74
2021-04-28,612.3885498046875,6069155,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.236,9.93
2021-04-29,613.4354858398438,5676290,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.224,11.94
2021-04-30,622.9058837890625,10874266,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.537,11.45
2021-05-03,627.4269409179688,6567597,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.621,10.29
2021-05-04,614.05419921875,5604638,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.041,7.92
2021-05-05,650.4605712890625,25296369,SUNPHARMA.NS,Sun Pharmaceutical Industries,2.269,11.9
2021-05-06,646.6533813476562,11153908,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.965,11.6
2021-05-07,646.700927734375,6466334,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.837,9.51
2021-05-10,664.5470581054688,10924222,SUNPHARMA.NS,Sun Pharmaceutical Industries,2.236,12.42
2021-05-11,673.9699096679688,14760511,SUNPHARMA.NS,Sun Pharmaceutical Industries,2.309,15.28
2021-05-12,668.972900390625,7250661,SUNPHARMA.NS,Sun Pharmaceutical Industries,2.007,10.38
2021-05-14,658.1224365234375,6851035,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.613,11.64
2021-05-17,654.0297241210938,6318234,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.438,9.53
2021-05-18,657.5037841796875,4080423,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.473,9.09
2021-05-19,669.4965209960938,7745431,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.714,8.88
2021-05-20,653.7442626953125,6226376,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.254,7.21
2021-05-21,657.1231079101562,3434231,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.302,7.01
2021-05-24,657.6465454101562,3722957,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.276,7.97
2021-05-25,662.54833984375,2800233,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.359,9.12
2021-05-26,669.877197265625,6235460,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.494,10.89
2021-05-27,665.7843627929688,9875654,SUNPHARMA.NS,Sun Pharmaceutical Industries,1.348,9.43
2021-05-28,637.4684448242188,28316552,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.626,4.1
2021-05-31,636.08837890625,13947126,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.583,3.69
2021-06-01,638.7058715820312,6443084,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.641,2.54
2021-06-02,644.7972412109375,4978457,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.785,2.77
2021-06-03,642.9412231445312,3604574,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.726,4.7
2021-06-04,641.4660034179688,3747803,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.679,-1.38
2021-06-07,642.7984008789062,2793705,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.704,-0.6
2021-06-08,646.03466796875,5695920,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.777,-0.1
2021-06-09,640.4190063476562,4492551,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.622,-3.63
2021-06-10,643.4647827148438,3099864,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.693,-4.53
2021-06-11,648.461669921875,3822099,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.814,-3.07
2021-06-14,644.464111328125,3640962,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.699,-2.08
2021-06-15,640.7522583007812,3862284,SUNPHARMA.NS,Sun Pharmaceutical Industries,0.594,-2.03
